Reference,Value,TME_SYMBOL,Footprint,Qty,Opis,Comment,TME Symbol,Manufacturer Part Number,TME URL,Unit Price PLN,Line Total PLN,Order Qty,Excess Qty,Stock Qty,TME Match Status,TME Match Notes
"J4,J6",Conn_02x03_Odd_Even,,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal,2,"Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,needs_review,Horizontal header geometry and pin arrangement are not independently specified.
Q2,Q_NMOS_GDS,,Package_TO_SOT_SMD:TO-263-2,1,"N-MOSFET transistor, gate/drain/source",,,,,,,,,,needs_review,MOSFET voltage current Rds(on) and gate requirements are unspecified.
Q3,Q_NPN_BEC,,Package_TO_SOT_SMD:SOT-23,1,"NPN transistor, base/emitter/collector",,,,,,,,,,needs_review,NPN transistor voltage current gain and pinout requirements are unspecified.
"R1,R2,R23,R27,R28",R,,Resistor_SMD:R_0805_2012Metric,5,Resistor,,,,,,,,,,needs_review,Resistance value is unspecified.
"R3,R21,R22,R40,R41",4.7k,,Resistor_SMD:R_0805_2012Metric,5,Resistor,,CRCW08054K70FKTABC,CRCW08054K70FKTABC,https://www.tme.eu/pl/details/crcw08054k70fktabc/,0.049750,0.248750,5,0,173775,validated_match,Verified 4.7kOhm 0805 resistor.
R4,40m,,Resistor_SMD:R_0805_2012Metric,1,Resistor,,MPZ2012S221ATD25,MPZ2012S221ATD25,https://www.tme.eu/pl/details/mpz2012s221atd25/,0.410900,0.410900,1,0,4863,no_safe_match,Ferrite bead with 40mOhm DCR
R5,~70k,,Resistor_SMD:R_0805_2012Metric,1,Resistor,,AC0805FR-07470KL,AC0805FR-07470KL,https://www.tme.eu/pl/details/ac0805fr-07470kl/,0.063200,0.063200,1,0,1367,no_safe_match,470kOhm candidate conflicts with approximately 70kOhm BOM value.
"R6,R11,R12,R14,R16,R29",10k,,Resistor_SMD:R_0805_2012Metric,6,Resistor,,CRCW080510K0FKEA,CRCW080510K0FKEA,https://www.tme.eu/pl/details/crcw080510k0fkea/,0.030060,0.180360,6,0,27864,validated_match,Verified 10kOhm 0805 resistor.
R10,10,,Resistor_SMD:R_0805_2012Metric,1,Resistor,,CL21B105MBFNNNE,CL21B105MBFNNNE,https://www.tme.eu/pl/details/cl21b105mbfnnne/,0.299300,0.299300,1,0,22,no_safe_match,1uF MLCC candidate is not a 10Ohm resistor.
"R15,R17,R19,R30",100k,,Resistor_SMD:R_0805_2012Metric,4,Resistor,,RC0805FR-07100K,RC0805FR-07100KL,https://www.tme.eu/pl/details/rc0805fr-07100k/,0.190680,0.762720,4,0,145871,validated_match,Verified 100kOhm 0805 resistor.
"R18,R20,R24",1k,,Resistor_SMD:R_0805_2012Metric,3,Resistor,,RC0805FR-071K,RC0805FR-071KL,https://www.tme.eu/pl/details/rc0805fr-071k/,0.142830,0.428490,3,0,641685,validated_match,Verified 1kOhm 0805 resistor.
"R31,R32",5.1K,,Resistor_SMD:R_0805_2012Metric,2,Resistor,,ERA6AEB512V,ERA6AEB512V; ERA-6AEB512V,https://www.tme.eu/pl/details/era6aeb512v/,0.328800,0.657600,2,0,1271,validated_match,Verified 5.1kOhm 0805 resistor.
RV1,20k,,Potentiometer_SMD:Potentiometer_Bourns_3269W_Vertical,1,Potentiometer,,,,,,,,,,no_in_stock_match,No priced in-stock candidate found.
RV3,100k,,Potentiometer_SMD:Potentiometer_Bourns_3269W_Vertical,1,Potentiometer,,,,,,,,,,no_in_stock_match,No priced in-stock candidate found.
SW1,SW_SPST,,Button_Switch_SMD:SW_SPST_B3S-1000,1,Single Pole Single Throw (SPST) switch,,,,,,,,,,no_in_stock_match,No priced in-stock candidate found.
U1,ESP32-C6-WROOM-1,,PCM_Espressif:ESP32-C6-WROOM-1,1,"ESP32-C6-WROOM-1/U is a module that supports 2.4 GHz Wi-Fi 6 (802.11 ax), Bluetooth® 5 (LE), Zigbee and Thread (802.15.4)",,,,,,,,,,needs_review,Module footprint and antenna variant are not mechanically verified.
U3,LM1117DT-3.3,,Package_TO_SOT_SMD:TO-252-3_TabPin2,1,"800mA Low-Dropout Linear Regulator, 3.3V fixed output, TO-252",,LM1117DT-3.3/NOPB,LM1117DT-3.3/NOPB,https://www.tme.eu/pl/details/lm1117dt-3.3%2Fnopb/,6.190000,6.190000,1,0,3205,needs_review,Available part has a non-identical /NOPB suffix.
U7,LM2576HVS-0.5,,Package_TO_SOT_SMD:TO-263-5_TabPin3,1,"Adjustable Output Voltage, 3A SIMPLE SWITCHER® Step-Down Voltage Regulator, High Voltage Input, TO-263",,,,,,,,,,needs_review,MPN was not found and its fixed-output suffix conflicts with the adjustable-output description.
U10,TXS0104EPW,,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,1,"Bidirectional  level-shifting voltage translator, TSSOP-14",,TXS0104EPWR,TXS0104EPWR,https://www.tme.eu/pl/details/txs0104epwr/,3.802000,3.802000,1,0,13,needs_review,Available part has non-identical packing suffix R.
U11,MAX811TEUS-T,,Package_TO_SOT_SMD:SOT-143,1,"Power supply supervisor, Manual reset, Threshold 3.08V, SOT-143",,MAX811TEUS+T,MAX811TEUS+T,https://www.tme.eu/pl/details/max811teus%2Bt/,2.782000,8.346000,3,2,2973,needs_review,Available part has a non-identical suffix; MOQ requires three pieces.
U14,KF50BDT,,Package_TO_SOT_SMD:TO-252-2,1,"Positive 500mA 20V Linear Regulator, Fixed Output 5V, TO-252 (D-PAK)",,KF50BDT-TR,KF50BDT-TR,https://www.tme.eu/pl/details/kf50bdt-tr/,2.556000,2.556000,1,0,11596,needs_review,Available part has a non-identical -TR packing suffix.
U15,AT24CS01-STUM,,Package_TO_SOT_SMD:SOT-23-5,1,"I2C Serial EEPROM, 1Kb (128x8) with Unique Serial Number, SOT-23-5",,,,,,,,,,no_in_stock_match,No priced in-stock candidate found.
